Getting all .java files in /Users/tamycova/SoftwareAnalytics/Lambda/spring-framework including those in subdirectories 
6755 java files in ./spring-framework
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/PointcutAdvisor.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/ProxyMethodInvocation.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/RawTargetAccess.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/scope/DefaultScopedObject.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/scope/package-info.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/scope/ScopedObject.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/scope/ScopedProxyFactoryBean.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/scope/ScopedProxyUtils.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/SpringProxy.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/support/AbstractBeanFactoryPointcutAdvisor.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./spring-framework/spring-aop/src/main/java/org/springframework/aop/support/AbstractExpressionPointcut.java
